state,zip,agi
Alabama,35004,57167
Alabama,35005,41296
Alabama,35006,50711
Alabama,35007,59274
Alabama,35010,44071
Alabama,35014,45186
Alabama,35016,50748
Alabama,35019,42696
Alabama,35020,27403
Alabama,35022,58188
Alabama,35023,48978
Alabama,35031,42413
Alabama,35033,54356
Alabama,35034,37411
Alabama,35035,49545
Alabama,35040,54467
Alabama,35042,47444
Alabama,35043,80625
Alabama,35044,42788
Alabama,35045,45518
Alabama,35046,51793
Alabama,35049,50081
Alabama,35051,56344
Alabama,35053,57692
Alabama,35054,61095
Alabama,35055,50505
Alabama,35057,51544
Alabama,35058,48630
Alabama,35061,37884
Alabama,35062,55902
Alabama,35063,42871
Alabama,35064,34651
Alabama,35068,49227
Alabama,35071,61827
Alabama,35072,38202
Alabama,35073,40463
Alabama,35077,43469
Alabama,35078,46195
Alabama,35079,54142
Alabama,35080,73423
Alabama,35083,43541
Alabama,35085,45959
Alabama,35087,38567
Alabama,35089,34931
Alabama,35091,72139
Alabama,35094,53571
Alabama,35096,49253
Alabama,35097,49675
Alabama,35098,46818
Alabama,35111,66351
Alabama,35114,68560
Alabama,35115,45801
Alabama,35116,61375
Alabama,35117,65209
Alabama,35118,48958
Alabama,35120,53523
Alabama,35121,48869
Alabama,35124,70700
Alabama,35125,43484
Alabama,35126,55635
Alabama,35127,52551
Alabama,35128,59283
Alabama,35130,45764
Alabama,35131,43036
Alabama,35133,48620
Alabama,35135,53481
Alabama,35136,46920
Alabama,35143,52766
Alabama,35146,63631
Alabama,35147,68670
Alabama,35148,43750
Alabama,35150,42598
Alabama,35151,49914
Alabama,35160,40015
Alabama,35171,52297
Alabama,35172,42608
Alabama,35173,79082
Alabama,35175,54870
Alabama,35176,42803
Alabama,35178,46762
Alabama,35179,49000
Alabama,35180,56861
Alabama,35183,49553
Alabama,35184,46190
Alabama,35186,66500
Alabama,35188,55280
Alabama,35203,59615
Alabama,35204,24899
Alabama,35205,45244
Alabama,35206,30314
Alabama,35207,25553
Alabama,35208,27878
Alabama,35209,70682
Alabama,35210,54407
Alabama,35211,30745
Alabama,35212,34016
Alabama,35213,114272
Alabama,35214,39060
Alabama,35215,34353
Alabama,35216,68445
Alabama,35217,31930
Alabama,35218,25509
Alabama,35221,26728
Alabama,35222,67631
Alabama,35223,126398
Alabama,35224,29888
Alabama,35226,88847
Alabama,35228,29108
Alabama,35233,60381
Alabama,35234,23638
Alabama,35235,44257
Alabama,35242,95927
Alabama,35243,92213
Alabama,35244,85196
Alabama,35401,30865
Alabama,35404,38069
Alabama,35405,47739
Alabama,35406,96742
Alabama,35441,38636
Alabama,35442,35405
Alabama,35443,26630
Alabama,35444,49424
Alabama,35446,46617
Alabama,35447,39186
Alabama,35452,49681
Alabama,35453,48359
Alabama,35456,45741
Alabama,35458,51136
Alabama,35459,33823
Alabama,35460,27272
Alabama,35461,44202
Alabama,35462,32460
Alabama,35463,47564
Alabama,35464,23750
Alabama,35466,51156
Alabama,35469,30357
Alabama,35470,41688
Alabama,35473,57030
Alabama,35474,48980
Alabama,35475,71725
Alabama,35476,37433
Alabama,35480,53219
Alabama,35481,39326
Alabama,35490,55610
Alabama,35501,41262
Alabama,35503,48390
Alabama,35504,60216
Alabama,35540,42934
Alabama,35541,56800
Alabama,35542,47023
Alabama,35543,36842
Alabama,35544,35416
Alabama,35546,46917
Alabama,35548,34375
Alabama,35549,40740
Alabama,35550,45767
Alabama,35552,37500
Alabama,35553,40735
Alabama,35554,48546
Alabama,35555,44470
Alabama,35563,46078
Alabama,35564,37824
