"","state","zip","agi"
"1","AL",35004,57167
"2","AL",35005,41296
"3","AL",35006,50711
"4","AL",35007,59274
"5","AL",35010,44071
"6","AL",35014,45186
"7","AL",35016,50748
"8","AL",35019,42696
"9","AL",35020,27403
"10","AL",35022,58188
"11","AL",35023,48978
"12","AL",35031,42413
"13","AL",35033,54356
"14","AL",35034,37411
"15","AL",35035,49545
"16","AL",35040,54467
"17","AL",35042,47444
"18","AL",35043,80625
"19","AL",35044,42788
"20","AL",35045,45518
"21","AL",35046,51793
"22","AL",35049,50081
"23","AL",35051,56344
"24","AL",35053,57692
"25","AL",35054,61095
"26","AL",35055,50505
"27","AL",35057,51544
"28","AL",35058,48630
"29","AL",35061,37884
"30","AL",35062,55902
"31","AL",35063,42871
"32","AL",35064,34651
"33","AL",35068,49227
"34","AL",35071,61827
"35","AL",35072,38202
"36","AL",35073,40463
"37","AL",35077,43469
"38","AL",35078,46195
"39","AL",35079,54142
"40","AL",35080,73423
"41","AL",35083,43541
"42","AL",35085,45959
"43","AL",35087,38567
"44","AL",35089,34931
"45","AL",35091,72139
"46","AL",35094,53571
"47","AL",35096,49253
"48","AL",35097,49675
"49","AL",35098,46818
"50","AL",35111,66351
"51","AL",35114,68560
"52","AL",35115,45801
"53","AL",35116,61375
"54","AL",35117,65209
"55","AL",35118,48958
"56","AL",35120,53523
"57","AL",35121,48869
"58","AL",35124,70700
"59","AL",35125,43484
"60","AL",35126,55635
"61","AL",35127,52551
"62","AL",35128,59283
"63","AL",35130,45764
"64","AL",35131,43036
"65","AL",35133,48620
"66","AL",35135,53481
"67","AL",35136,46920
"68","AL",35143,52766
"69","AL",35146,63631
"70","AL",35147,68670
"71","AL",35148,43750
"72","AL",35150,42598
"73","AL",35151,49914
"74","AL",35160,40015
"75","AL",35171,52297
"76","AL",35172,42608
"77","AL",35173,79082
"78","AL",35175,54870
"79","AL",35176,42803
"80","AL",35178,46762
"81","AL",35179,49000
"82","AL",35180,56861
"83","AL",35183,49553
"84","AL",35184,46190
"85","AL",35186,66500
"86","AL",35188,55280
"87","AL",35203,59615
"88","AL",35204,24899
"89","AL",35205,45244
"90","AL",35206,30314
"91","AL",35207,25553
"92","AL",35208,27878
"93","AL",35209,70682
"94","AL",35210,54407
"95","AL",35211,30745
"96","AL",35212,34016
"97","AL",35213,114272
"98","AL",35214,39060
"99","AL",35215,34353
"100","AL",35216,68445
"101","AL",35217,31930
"102","AL",35218,25509
"103","AL",35221,26728
"104","AL",35222,67631
"105","AL",35223,126398
"106","AL",35224,29888
"107","AL",35226,88847
"108","AL",35228,29108
"109","AL",35233,60381
"110","AL",35234,23638
"111","AL",35235,44257
"112","AL",35242,95927
"113","AL",35243,92213
"114","AL",35244,85196
"115","AL",35401,30865
"116","AL",35404,38069
"117","AL",35405,47739
"118","AL",35406,96742
"119","AL",35441,38636
"120","AL",35442,35405
"121","AL",35443,26630
"122","AL",35444,49424
"123","AL",35446,46617
"124","AL",35447,39186
"125","AL",35452,49681
"126","AL",35453,48359
"127","AL",35456,45741
"128","AL",35458,51136
"129","AL",35459,33823
"130","AL",35460,27272
"131","AL",35461,44202
"132","AL",35462,32460
"133","AL",35463,47564
"134","AL",35464,23750
"135","AL",35466,51156
"136","AL",35469,30357
"137","AL",35470,41688
"138","AL",35473,57030
"139","AL",35474,48980
"140","AL",35475,71725
"141","AL",35476,37433
"142","AL",35480,53219
"143","AL",35481,39326
"144","AL",35490,55610
"145","AL",35501,41262
"146","AL",35503,48390
"147","AL",35504,60216
"148","AL",35540,42934
"149","AL",35541,56800
"150","AL",35542,47023
"151","AL",35543,36842
"152","AL",35544,35416
"153","AL",35546,46917
"154","AL",35548,34375
"155","AL",35549,40740
"156","AL",35550,45767
"157","AL",35552,37500
"158","AL",35553,40735
"159","AL",35554,48546
"160","AL",35555,44470
"161","AL",35563,46078
"162","AL",35564,37824
"163","AL",35565,40552
"164","AL",35570,41517
"165","AL",35571,35227
"166","AL",35572,44444
"167","AL",35574,47272
"168","AL",35575,45486
"169","AL",35576,48478
"170","AL",35578,42051
"171","AL",35579,46304
"172","AL",35580,46621
"173","AL",35581,38606
"174","AL",35582,46009
"175","AL",35585,46822
"176","AL",35586,41139
"177","AL",35587,48437
"178","AL",35592,43488
"179","AL",35593,44318
"180","AL",35594,49160
"181","AL",35601,41249
"182","AL",35603,60894
"183","AL",35610,46166
"184","AL",35611,45436
"185","AL",35613,74032
"186","AL",35614,44713
"187","AL",35616,45138
"188","AL",35618,37828
"189","AL",35619,45892
"190","AL",35620,49459
"191","AL",35621,48717
"192","AL",35622,44783
"193","AL",35630,41794
"194","AL",35633,52056
"195","AL",35634,62217
"196","AL",35640,54793
"197","AL",35643,41699
"198","AL",35645,60998
"199","AL",35646,44343
"200","AL",35647,45930
"201","AL",35648,48583
"202","AL",35650,48027
"203","AL",35651,48546
"204","AL",35652,53474
"205","AL",35653,41323
"206","AL",35654,39903
"207","AL",35660,39360
"208","AL",35661,56887
"209","AL",35670,50881
"210","AL",35671,45192
"211","AL",35672,46153
"212","AL",35673,51707
"213","AL",35674,49388
"214","AL",35677,43918
"215","AL",35739,52191
"216","AL",35740,43566
"217","AL",35741,85017
"218","AL",35744,40081
"219","AL",35746,37500
"220","AL",35747,53031
"221","AL",35748,71511
"222","AL",35749,69230
"223","AL",35750,52482
"224","AL",35752,44345
"225","AL",35754,50700
"226","AL",35755,48611
"227","AL",35756,81093
"228","AL",35757,76432
"229","AL",35758,82459
"230","AL",35759,68961
"231","AL",35760,48786
"232","AL",35761,60490
"233","AL",35763,97240
"234","AL",35764,37500
"235","AL",35765,42551
"236","AL",35768,44624
"237","AL",35769,58192
"238","AL",35771,42244
"239","AL",35772,41711
"240","AL",35773,53078
"241","AL",35775,40277
"242","AL",35776,43794
"243","AL",35801,83720
"244","AL",35802,75651
"245","AL",35803,74799
"246","AL",35805,25450
"247","AL",35806,68698
"248","AL",35808,85975
"249","AL",35810,33924
"250","AL",35811,59912
"251","AL",35816,27129
"252","AL",35824,78896
"253","AL",35901,47422
"254","AL",35903,39042
"255","AL",35904,38747
"256","AL",35905,50469
"257","AL",35906,51726
"258","AL",35907,62666
"259","AL",35950,37752
"260","AL",35951,36729
"261","AL",35952,41292
"262","AL",35953,47297
"263","AL",35954,37792
"264","AL",35956,43731
"265","AL",35957,40214
"266","AL",35958,42841
"267","AL",35959,45375
"268","AL",35960,48441
"269","AL",35961,35388
"270","AL",35962,34732
"271","AL",35963,36666
"272","AL",35966,42366
"273","AL",35967,41680
"274","AL",35968,45852
"275","AL",35971,41882
"276","AL",35972,47656
"277","AL",35973,39625
"278","AL",35974,39189
"279","AL",35975,40202
"280","AL",35976,55021
"281","AL",35978,40408
"282","AL",35979,39583
"283","AL",35980,37776
"284","AL",35981,41666
"285","AL",35983,46829
"286","AL",35984,45065
"287","AL",35986,45347
"288","AL",35987,44140
"289","AL",35988,39338
"290","AL",35989,43699
"291","AL",36003,39398
"292","AL",36005,44318
"293","AL",36006,46710
"294","AL",36009,49158
"295","AL",36010,36428
"296","AL",36013,69642
"297","AL",36016,35282
"298","AL",36017,30720
"299","AL",36020,39705
"300","AL",36022,63008
"301","AL",36024,53051
"302","AL",36025,46549
"303","AL",36026,56250
"304","AL",36027,41237
"305","AL",36028,39436
"306","AL",36029,50320
"307","AL",36030,33333
"308","AL",36032,34254
"309","AL",36033,37905
"310","AL",36034,40725
"311","AL",36035,45156
"312","AL",36036,40548
"313","AL",36037,40653
"314","AL",36039,22500
"315","AL",36040,29375
"316","AL",36041,41666
"317","AL",36042,44772
"318","AL",36043,51796
"319","AL",36046,45258
"320","AL",36047,38333
"321","AL",36048,35526
"322","AL",36049,44911
"323","AL",36051,43951
"324","AL",36052,78750
"325","AL",36053,33125
"326","AL",36054,50848
"327","AL",36064,83971
"328","AL",36066,61046
"329","AL",36067,53319
"330","AL",36069,44728
"331","AL",36071,32352
"332","AL",36075,37645
"333","AL",36078,47719
"334","AL",36079,48368
"335","AL",36080,62250
"336","AL",36081,43631
"337","AL",36083,32773
"338","AL",36088,29834
"339","AL",36089,31841
"340","AL",36091,44701
"341","AL",36092,49333
"342","AL",36093,76873
"343","AL",36104,36020
"344","AL",36105,32644
"345","AL",36106,62536
"346","AL",36107,28858
"347","AL",36108,27991
"348","AL",36109,50121
"349","AL",36110,26227
"350","AL",36111,54043
"351","AL",36113,65357
"352","AL",36115,40178
"353","AL",36116,39290
"354","AL",36117,63768
"355","AL",36201,30173
"356","AL",36203,50014
"357","AL",36205,51785
"358","AL",36206,40326
"359","AL",36207,55229
"360","AL",36250,53292
"361","AL",36251,42340
"362","AL",36255,48571
"363","AL",36256,43237
"364","AL",36258,45696
"365","AL",36260,42149
"366","AL",36262,40931
"367","AL",36263,42307
"368","AL",36264,47067
"369","AL",36265,47919
"370","AL",36266,42443
"371","AL",36268,44560
"372","AL",36269,42777
"373","AL",36271,48529
"374","AL",36272,41352
"375","AL",36273,50000
"376","AL",36274,38109
"377","AL",36276,41369
"378","AL",36277,43615
"379","AL",36278,49728
"380","AL",36279,45093
"381","AL",36280,44981
"382","AL",36301,43505
"383","AL",36303,48949
"384","AL",36305,69274
"385","AL",36310,42571
