Alabama,21549,126398
Arkansas,17934,99725
Arizona,12500,134375
California,22374,151615
Colorado,20833,126807
Connecticut,21480,142169
District of Columbia,35727,134090
Delaware,38936,131709
Florida,19642,185795
Georgia,21386,171428
Iowa,28750,120528
Idaho,30882,92392
Illinois,21436,142806
Indiana,12500,125000
Kansas,24264,126016
Kentucky,21428,117366
Louisiana,23005,98105
Massachusetts,23777,144830
Maryland,25726,140420
Maine,27884,122889
Michigan,22096,120378
Minnesota,18269,131887
Missouri,12500,136657
Mississippi,20568,96384
Montana,17857,92106
North Carolina,25378,136213
North Dakota,14144,130681
Nebraska,22965,115845
New Hampshire,32500,129250
New Jersey,24576,154807
New Mexico,20192,113585
Nevada,26730,148437
New York,22457,180954
Ohio,19602,120990
Oklahoma,26451,131743
Oregon,20833,114506
Pennsylvania,19817,145358
Rhode Island,27126,100820
South Carolina,20343,121173
South Dakota,19318,90425
Tennessee,18141,124300
Texas,21160,172443
Utah,16666,101446
Virginia,17857,141108
Vermont,23863,98282
Washington,19021,145454
Wisconsin,16911,110100
West Virginia,21771,85182
Wyoming,30833,103437
